period t,date,item,quantity,day,deseasonlised ,Deaseasonlised (Dt),seasonal,seasonal index,,,Moving average( 3 days ),Moving average( 6 days ),weighted moving average,exponential smoothing,Holt's model( L ),Holt's model ( T ),Holt's model ( Ft ),Winter's model ( L ),Winter's model ( T ),Winter's model ( S ),Winter's model ( F ),moving average 3d error,moving average 6d error,weighted average error,exponential smoothing error,holt's model error,winter's model error,,,,,,
1,10/25/2021,Chicken Fried Rice,28,Monday,,6.46,4.33,1.49,4.807127883,1.65549838,,,,50.33,1.66,4.81,,1.66,4.81,1.49,,,,,-22.33,,,,,,,alpha for expontital smoothing,0.521205771
2,10/26/2021,Chicken Fried Rice,20,Tuesday,,8.12,2.46,1.16,,,,,,38.69,8.12,6.26,6.46,6.6,4.91,1.16,7.47,,,,-18.69,13.54,12.53,,,,,,
3,10/27/2021,Chicken Fried Rice,11,Wednesday,,9.77,1.13,0.71,,,,,,28.95,9.77,2.23,14.38,12.06,5.34,0.71,8.17,,,,-17.95,-3.38,2.83,,,,,alpha for holt's,1
4,10/28/2021,Chicken Fried Rice,12,Thursday,17.5,11.43,1.05,1.14,,,19.67,,,19.59,11.43,1.73,12,15.6,3.94,1.14,19.91,-7.67,,,-7.59,0,-7.91,,Moving Average 3d,MSE,417.81,beta for holts,0.875942847
5,10/29/2021,Chicken Fried Rice,14,Friday,15.67,13.08,1.07,0.78,,,14.33,,,15.64,13.08,1.66,13.16,18.87,3.42,0.78,15.25,-0.33,,,-1.64,0.84,-1.25,,,MAD,16.27,,
6,10/30/2021,Chicken Fried Rice,28,Saturday,15.17,14.74,1.9,1.12,,,12.33,,,14.78,14.74,1.66,14.75,20.06,1.7,1.12,24.97,15.67,,,13.22,13.25,3.03,,,MAPE,0.38,,
7,11/1/2021,Chicken Fried Rice,12,Monday,15.42,16.4,0.73,,,,18,18.83,23.54,21.67,16.4,1.66,16.4,18.96,-0.48,1.6,34.81,-6,-6.83,-11.54,-9.67,-4.4,-22.81,,Moving Average 6d,MSE,368.65,alpha for winter's,0.243381229
8,11/2/2021,Chicken Fried Rice,14,Tuesday,16.17,18.05,0.78,,,,18,16.17,19.2,16.63,18.05,1.66,18.05,17.77,-1.03,1.16,21.42,-4,-2.17,-5.2,-2.63,-4.05,-7.42,,,MAD,15.29,beta for winter's,0.775651095
9,11/3/2021,Chicken Fried Rice,11,Wednesday,16.67,19.71,0.56,,,,18,15.17,11.61,15.26,19.71,1.66,19.71,19.39,1.02,0.71,11.95,-7,-4.17,-0.61,-4.26,-8.71,-0.95,,,MAPE,0.32,gamma for holts,0.044972538
10,11/4/2021,Chicken Fried Rice,15,Thursday,17.92,21.36,0.7,,,,12.33,15.17,14.69,13.04,21.36,1.66,21.36,20.06,0.75,1.13,22.97,2.67,-0.17,0.31,1.96,-6.36,-7.97,,Weighted average model,MSE,329.65,,
11,11/5/2021,Chicken Fried Rice,20,Friday,19.25,23.02,0.87,,,,13.33,15.67,14.12,14.06,23.02,1.66,23.02,22.96,2.42,0.78,16.16,6.67,4.33,5.88,5.94,-3.02,3.84,,,MAD,12.58,w1,0.597310754
12,11/6/2021,Chicken Fried Rice,28,Saturday,19.33,24.67,1.13,,,,15.33,16.67,23.67,17.16,24.67,1.66,24.67,24.65,1.85,1.1,28,12.67,11.33,4.33,10.84,3.33,0,,,MAPE,0.25,w2,0.045915915
13,11/8/2021,Chicken Fried Rice,27,Monday,19.5,26.33,1.03,,,,21,16.67,12.83,22.81,26.33,1.66,26.33,24.14,0.02,1.57,41.53,6,10.33,14.17,4.19,0.67,-14.53,,Exponential smoothing,MSE,475.91,w3,0.128267467
14,11/9/2021,Chicken Fried Rice,15,Tuesday,20.17,27.98,0.54,,,,25,19.17,15.51,24.99,27.98,1.66,27.98,24.19,0.04,1.15,27.85,-10,-4.17,-0.51,-9.99,-12.98,-12.85,,,MAD,17.11,w4,0
15,11/10/2021,Chicken Fried Rice,11,Wednesday,20.5,29.64,0.37,,,,23.33,19.33,14.28,19.78,29.64,1.66,29.64,28.25,3.16,0.73,17.63,-12.33,-8.33,-3.28,-8.78,-18.64,-6.63,,,MAPE,0.43,w5,0.093849489
16,11/11/2021,Chicken Fried Rice,17,Thursday,22.75,31.3,0.54,,,,17.67,19.33,17.19,15.21,31.3,1.66,31.3,30.55,2.49,1.12,35.26,-0.67,-2.33,-0.19,1.79,-14.3,-18.26,,Holt's model ,MSE,288.28,w6,0
17,11/12/2021,Chicken Fried Rice,26,Friday,28.92,32.95,0.79,,,,14.33,19.67,20.49,16.14,32.95,1.66,32.95,35.19,4.16,0.79,25.98,11.67,6.33,5.51,9.86,-6.95,0.02,,,MAD,13.84,,
18,11/13/2021,Chicken Fried Rice,26,Saturday,34.75,34.61,0.75,,,,18,20.67,24.83,21.28,34.61,1.66,34.61,37.45,2.68,1.1,43.23,8,5.33,1.17,4.72,-8.61,-17.23,,,MAPE,0.37,,
19,11/15/2021,Chicken Fried Rice,56,Monday,39.5,36.26,1.54,,,,23,20.33,23.88,23.74,36.26,1.66,36.26,36.07,-0.46,1.55,62.02,33,35.67,32.12,32.26,19.74,-6.02,,Winter's model ,MSE,264.55,,
20,11/16/2021,Chicken Fried Rice,60,Tuesday,42.83,37.92,1.58,,,,36,25.17,16.28,40.55,37.92,1.66,37.92,34.94,-0.98,1.15,41.05,24,34.83,43.72,19.45,22.08,18.95,,,MAD,12.61,,
21,11/17/2021,Chicken Fried Rice,36,Wednesday,45.92,39.57,0.91,,,,47.33,32.67,18.42,50.69,39.57,1.66,39.57,38.68,2.68,0.74,25.2,-11.33,3.33,17.58,-14.69,-3.57,10.8,,,MAPE,0.34,,
22,11/18/2021,Chicken Fried Rice,49,Thursday,49.42,41.23,1.19,,,,50.67,36.83,23.48,43.03,41.23,1.66,41.23,40.26,1.83,1.12,46.25,-1.67,12.17,25.52,5.97,7.77,2.75,,,,,,
23,11/19/2021,Chicken Fried Rice,34,Friday,47.58,42.88,0.79,,,,48.33,42.17,31.53,46.14,42.88,1.66,42.88,45.01,4.09,0.79,33.39,-14.33,-8.17,2.47,-12.14,-8.88,0.61,,,,,,
24,11/20/2021,Chicken Fried Rice,55,Saturday,44.92,44.54,1.23,,,,39.67,43.5,35.13,39.81,44.54,1.66,44.54,47.09,2.53,1.09,53.54,15.33,11.5,19.87,15.19,10.46,1.46,,,,,,
25,11/22/2021,Chicken Fried Rice,69,Monday,47.75,46.19,1.49,,,,46,48.33,50.86,47.73,46.19,1.66,46.19,44.93,-1.1,1.52,75.48,23,20.67,18.14,21.27,22.81,-6.48,,,,,,
26,11/23/2021,Chicken Fried Rice,25,Tuesday,49.58,47.85,0.52,,,,52.67,50.5,56.55,58.82,47.85,1.66,47.85,43.29,-1.52,1.15,50.4,-27.67,-25.5,-31.55,-33.82,-22.85,-25.4,,,,,,
27,11/24/2021,Chicken Fried Rice,39,Wednesday,49,49.51,0.79,,,,49.67,44.67,39.97,41.19,49.51,1.66,49.51,47.57,2.98,0.75,31.52,-10.67,-5.67,-0.97,-2.19,-10.51,7.48,,,,,,
28,11/25/2021,Chicken Fried Rice,80,Thursday,48,51.16,1.56,,,,44.33,45.17,46.49,40.05,51.16,1.66,51.16,49.42,2.1,1.11,56.31,35.67,34.83,33.51,39.95,28.84,23.69,,,,,,
29,11/26/2021,Chicken Fried Rice,25,Friday,48.92,52.82,0.47,,,,48,50.33,40.84,60.87,52.82,1.66,52.82,55.04,4.84,0.8,41.24,-23,-25.33,-15.84,-35.87,-27.82,-16.24,,,,,,
30,11/27/2021,Chicken Fried Rice,57,Saturday,51.33,54.47,1.05,,,,48,48.83,54.01,42.18,54.47,1.66,54.47,57.54,3.02,1.08,64.91,9,8.17,2.99,14.82,2.53,-7.91,,,,,,
31,11/29/2021,Chicken Fried Rice,55,Monday,52.25,56.13,0.98,,,,54,49.17,57.45,49.9,56.13,1.66,56.13,54.93,-1.35,1.5,90.77,1,5.83,-2.45,5.1,-1.13,-35.77,,,,,,
32,11/30/2021,Chicken Fried Rice,50,Tuesday,53.5,57.78,0.87,,,,45.67,46.83,37.37,52.56,57.78,1.66,57.78,52.79,-1.96,1.15,61.51,4.33,3.17,12.63,-2.56,-7.78,-11.51,,,,,,
33,12/1/2021,Chicken Fried Rice,43,Wednesday,54.33,59.44,0.72,,,,54,51,40.84,51.23,59.44,1.66,59.44,57.31,3.06,0.77,39.02,-11,-8,2.16,-8.23,-16.44,3.98,,,,,,
34,12/2/2021,Chicken Fried Rice,87,Thursday,54.25,61.09,1.42,,,,49.33,51.67,70.42,46.94,61.09,1.66,61.09,59.07,2.05,1.11,67.05,37.67,35.33,16.58,40.06,25.91,19.95,,,,,,
35,12/3/2021,Chicken Fried Rice,33,Friday,57.5,62.75,0.53,,,,60,52.83,33.1,67.82,62.75,1.66,62.75,65.16,5.18,0.81,49.36,-27,-19.83,-0.1,-34.82,-29.75,-16.36,,,,,,
36,12/4/2021,Chicken Fried Rice,59,Saturday,60.5,64.41,0.92,,,,54.33,54.17,59.11,49.67,64.41,1.66,64.41,67.76,3.18,1.08,75.82,4.67,4.83,-0.11,9.33,-5.41,-16.82,,,,,,
37,12/6/2021,Chicken Fried Rice,52,Monday,60.5,66.06,0.79,,,,59.67,54.5,50.57,54.53,66.06,1.66,66.06,64.56,-1.77,1.48,104.83,-7.67,-2.5,1.43,-2.53,-14.06,-52.83,,,,,,
38,12/7/2021,Chicken Fried Rice,92,Tuesday,60.83,67.72,1.36,,,,48,54,56.09,53.21,67.72,1.66,67.72,61.9,-2.46,1.15,71.93,44,38,35.91,38.79,24.28,20.07,,,,,,
39,12/8/2021,Chicken Fried Rice,37,Wednesday,63.25,69.37,0.53,,,,67.67,61,44.83,73.43,69.37,1.66,69.37,66.62,3.11,0.78,46.34,-30.67,-24,-7.83,-36.43,-32.37,-9.34,,,,,,
40,12/9/2021,Chicken Fried Rice,93,Thursday,70,71.03,1.31,,,,60.33,60,80.53,54.44,71.03,1.66,71.03,68.38,2.06,1.11,77.21,32.67,33,12.47,38.56,21.97,15.79,,,,,,
41,12/10/2021,Chicken Fried Rice,31,Friday,73.92,72.68,0.43,,,,74,61,37.63,74.54,72.68,1.66,72.68,75.01,5.61,0.81,57.37,-43,-30,-6.63,-43.54,-41.68,-26.37,,,,,,
42,12/11/2021,Chicken Fried Rice,90,Saturday,75.08,74.34,1.21,,,,53.67,60.67,67.21,51.85,74.34,1.66,74.34,77.87,3.48,1.07,86.43,36.33,29.33,22.79,38.15,15.66,3.57,,,,,,
43,12/13/2021,Chicken Fried Rice,102,Monday,77.33,75.99,1.34,,,,71.33,65.83,49.62,71.73,75.99,1.66,75.99,74.24,-2.03,1.46,118.54,30.67,36.17,52.38,30.27,26.01,-16.54,,,,,,
44,12/14/2021,Chicken Fried Rice,89,Tuesday,83.25,77.65,1.15,,,,74.33,74.17,89.01,87.51,77.65,1.66,77.65,71.17,-2.84,1.14,82.55,14.67,14.83,-0.01,1.49,11.35,6.45,,,,,,
45,12/15/2021,Chicken Fried Rice,54,Wednesday,87.17,79.3,0.68,,,,93.67,73.67,46.13,88.29,79.3,1.66,79.3,76.08,3.17,0.79,54.07,-39.67,-19.67,7.87,-34.29,-25.3,-0.07,,,,,,
46,12/16/2021,Chicken Fried Rice,103,Thursday,86,80.96,1.27,,,,81.67,76.5,88.83,70.42,80.96,1.66,80.96,77.81,2.06,1.1,87.51,21.33,26.5,14.17,32.58,22.04,15.49,,,,,,
47,12/17/2021,Chicken Fried Rice,92,Friday,87,82.62,1.11,,,,82,78.17,47.15,87.4,82.62,1.66,82.62,84.91,5.96,0.82,65.61,10,13.83,44.85,4.6,9.38,26.39,,,,,,
48,12/18/2021,Chicken Fried Rice,76,Saturday,88.67,84.27,0.9,,,,83,88.33,91.9,89.8,84.27,1.66,84.27,87.98,3.72,1.07,96.95,-7,-12.33,-15.9,-13.8,-8.27,-20.95,,,,,,
49,12/20/2021,Chicken Fried Rice,102,Monday,90.17,85.93,1.19,,,,90.33,86,93.11,82.61,85.93,1.66,85.93,83.93,-2.31,1.44,131.84,11.67,16,8.89,19.39,16.07,-29.84,,,,,,
50,12/21/2021,Chicken Fried Rice,101,Tuesday,90.75,87.58,1.15,,,,90,86,87.81,92.71,87.58,1.66,87.58,80.44,-3.22,1.14,93.12,11,15,13.19,8.29,13.42,7.88,,,,,,
51,12/22/2021,Chicken Fried Rice,62,Wednesday,91.92,89.24,0.69,,,,93,88,67.44,97.03,89.24,1.66,89.24,85.48,3.19,0.8,61.98,-31,-26,-5.44,-35.03,-27.24,0.02,,,,,,
52,12/23/2021,Chicken Fried Rice,113,Thursday,,90.89,1.24,,,,88.33,89.33,98.2,78.77,90.89,1.66,90.89,87.17,2.03,1.1,97.64,24.67,23.67,14.8,34.23,22.11,15.36,,,,,,
53,12/24/2021,Chicken Fried Rice,89,Friday,,92.55,0.96,,,,92,91,89.38,96.61,92.55,1.66,92.55,94.69,6.28,0.83,73.89,-3,-2,-0.38,-7.61,-3.55,15.11,,,,,,
54,12/25/2021,Chicken Fried Rice,93,Saturday,,94.2,0.99,,,,88,90.5,85.1,92.64,94.2,1.66,94.2,97.99,3.97,1.06,107.23,5,2.5,7.9,0.36,-1.2,-14.23,,,,,,
55,,,,,,95.86,,,,,98.33,93.33,94.61,92.83,95.86,1.66,95.86,93.58,-2.53,1.42,144.68,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
