period t,date,item,quantity,day,deseasonlised ,deseasonal,seasonal,seasonal index,,,Moving average( 3 days ),Moving average( 6 days ),weighted moving average,exponential smoothing,Holt's model( L ),Holt's model ( T ),Holt's model ( Ft ),Winter's model ( L ),Winter's model ( T ),Winter's model ( S ),Winter's model ( F ),moving average 3d error,moving average 6d error,weighted average error,exponential smoothing error,holt's model error,winter's model error,,,,,,
1,10/25/2021,Dosa,11,Monday,,24.22,0.45,0.99,22.45891078,1.762415871,,,,71.87,1.76,22.46,,1.76,22.46,0.99,,,,,-60.87,,,,,,,alpha for expontital smoothing,0.382951521
2,10/26/2021,Dosa,59,Tuesday,,25.98,2.27,1.28,,,,,,48.56,25.98,23.62,24.22,23.26,21.76,1.28,30.91,,,,10.44,34.78,28.09,,,,,,
3,10/27/2021,Dosa,38,Wednesday,,27.75,1.37,0.93,,,,,,52.56,27.75,9.25,49.6,41.29,19.06,0.93,41.69,,,,-14.56,-11.6,-3.69,,,,,alpha for holt's,1
4,10/28/2021,Dosa,37,Thursday,44.67,29.51,1.25,1.03,,,36,,,46.98,29.51,4.33,37,52.47,13.34,1.03,62.33,1,,,-9.98,0,-25.33,,Moving Average 3d,MSE,672.9,beta for holts,0.657217563
5,10/29/2021,Dosa,73,Friday,44.58,31.27,2.33,0.88,,,44.67,,,43.16,31.27,2.64,33.84,58.35,7.93,0.88,57.63,28.33,,,29.84,39.16,15.37,,,MAD,20.52,,
6,10/30/2021,Dosa,38,Saturday,42.08,33.03,1.15,1.09,,,49.33,,,54.59,33.03,2.06,33.91,57.32,1.43,1.09,72.53,-11.33,,,-16.59,4.09,-34.53,,,MAPE,0.34,,
7,11/1/2021,Dosa,35,Monday,40.67,34.8,1.01,,,,49.33,42.67,35,48.24,34.8,1.87,35.1,51.54,-3.8,1.17,68.98,-14.33,-7.67,0,-13.24,-0.1,-33.98,,Moving Average 6d,MSE,629.72,alpha for winter's,0.247955112
8,11/2/2021,Dosa,34,Tuesday,35.67,36.56,0.93,,,,48.67,46.67,43.9,43.17,36.56,1.8,36.66,43.01,-7.23,1.27,60.81,-14.67,-12.67,-9.9,-9.17,-2.66,-26.81,,,MAD,20.45,beta for winter's,0.725414651
9,11/3/2021,Dosa,33,Wednesday,31.33,38.32,0.86,,,,35.67,42.5,40.26,39.66,38.32,1.77,38.36,37.22,-6.19,0.92,33,-2.67,-9.5,-7.26,-6.66,-5.36,0,,,MAPE,0.33,gamma for holts,0.014313103
10,11/4/2021,Dosa,25,Thursday,31.42,40.08,0.62,,,,34,41.67,35.14,37.11,40.08,1.77,40.1,33.02,-4.74,1.03,31.84,-9,-16.67,-10.14,-12.11,-15.1,-6.84,,Weighted average model,MSE,536.71,,
