period t,date,item,quantity,day,deseasonlised ,deseasonal,seasonal,seasonal index,,,Moving average( 3 days ),Moving average( 6 days ),weighted moving average,exponential smoothing,Holt's model( L ),Holt's model ( T ),Holt's model ( Ft ),Winter's model ( L ),Winter's model ( T ),Winter's model ( S ),Winter's model ( F ),moving average 3d error,moving average 6d error,weighted average error,exponential smoothing error,holt's model error,winter's model error,,,,,,
1,10/25/2021,Egg Fried Rice,7,Monday,,6.73,1.04,1.14,6.609920032,0.124411999,,,,10.26,0.12,6.61,,0.12,6.61,1.14,,,,,-3.26,,,,,,,alpha for expontital smoothing,0.515672037
2,10/26/2021,Egg Fried Rice,2,Tuesday,,6.86,0.29,1,,,,,,8.58,6.86,6.73,6.73,6.8,6.68,1,6.7,,,,-6.58,-4.73,-4.7,,,,,,
3,10/27/2021,Egg Fried Rice,7,Wednesday,,6.98,1,0.95,,,,,,5.19,6.98,0.12,13.59,10.77,3.97,0.95,12.77,,,,1.81,-6.59,-5.77,,,,,alpha for holt's,1
4,10/28/2021,Egg Fried Rice,4,Thursday,8.83,7.11,0.56,0.8,,,5.33,,,6.12,7.11,0.12,7.11,12.17,1.39,0.8,11.72,-1.33,,,-2.12,-3.11,-7.72,,Moving Average 3d,MSE,31.92,beta for holts,1
5,10/29/2021,Egg Fried Rice,19,Friday,8.75,7.23,2.63,1.11,,,4.33,,,5.03,7.23,0.12,7.23,10.42,-1.74,1.11,15.1,14.67,,,13.97,11.77,3.9,,,MAD,4.25,,
6,10/30/2021,Egg Fried Rice,15,Saturday,8.75,7.36,2.04,1.11,,,10,,,12.23,7.36,0.12,7.36,7.77,-2.65,1.11,9.61,5,,,2.77,7.64,5.39,,,MAPE,0.54,,
7,11/1/2021,Egg Fried Rice,5,Monday,8.83,7.48,0.67,,,,12.67,9,10.77,13.66,7.48,0.12,7.48,5.76,-2.01,1.14,5.85,-7.67,-4,-5.77,-8.66,-2.48,-0.85,,Moving Average 6d,MSE,25.43,alpha for winter's,0.443897127
8,11/2/2021,Egg Fried Rice,3,Tuesday,7.83,7.61,0.39,,,,13,8.67,3.79,9.19,7.61,0.12,7.61,5.48,-0.29,1,3.73,-10,-5.67,-0.79,-6.19,-4.61,-0.73,,,MAD,3.82,beta for winter's,1
9,11/3/2021,Egg Fried Rice,6,Wednesday,6.42,7.73,0.78,,,,7.67,8.83,7.35,6,7.73,0.12,7.73,6.51,1.03,0.95,4.91,-1.67,-2.83,-1.35,0,-1.73,1.09,,,MAPE,0.47,gamma for holts,0
10,11/4/2021,Egg Fried Rice,6,Thursday,6.17,7.85,0.76,,,,4.67,8.67,6.99,6,7.85,0.12,7.85,8.58,2.07,0.8,6,1.33,-2.67,-0.99,0,-1.85,0,,Weighted average model,MSE,21,,
11,11/5/2021,Egg Fried Rice,5,Friday,6.25,7.98,0.63,,,,5,9,10.27,6,7.98,0.12,7.98,9.1,0.52,1.11,11.87,0,-4,-5.27,-1,-2.98,-6.87,,,MAD,3.47,w1,0.469043815
12,11/6/2021,Egg Fried Rice,12,Saturday,6.17,8.1,1.48,,,,5.67,6.67,8.05,5.48,8.1,0.12,8.1,8.6,-0.5,1.11,10.65,6.33,5.33,3.95,6.52,3.9,1.35,,,MAPE,0.41,w2,0
13,11/8/2021,Egg Fried Rice,5,Monday,6.08,8.23,0.61,,,,7.67,6.17,8.49,8.84,8.23,0.12,8.23,7.7,-0.9,1.14,9.24,-2.67,-1.17,-3.49,-3.84,-3.23,-4.24,,Exponential smoothing,MSE,27.19,w3,0.254590842
14,11/9/2021,Egg Fried Rice,4,Tuesday,6.17,8.35,0.48,,,,7.33,6.17,4.5,6.86,8.35,0.12,8.35,7.51,-0.19,1,6.77,-3.33,-2.17,-0.5,-2.86,-4.35,-2.77,,,MAD,3.89,w4,0
15,11/10/2021,Egg Fried Rice,4,Wednesday,6.25,8.48,0.47,,,,7,6.33,4.87,5.39,8.48,0.12,8.48,8.04,0.53,0.95,6.93,-3,-2.33,-0.87,-1.39,-4.48,-2.93,,,MAPE,0.53,w5,0
16,11/11/2021,Egg Fried Rice,7,Thursday,7.67,8.6,0.81,,,,4.33,6,6.17,4.67,8.6,0.12,8.6,9.57,1.53,0.8,6.82,2.67,1,0.83,2.33,-1.6,0.18,,Holt's model ,MSE,23.72,w6,0.64516042
17,11/12/2021,Egg Fried Rice,5,Friday,10.25,8.72,0.57,,,,5,6.17,5.94,5.87,8.72,0.12,8.72,9.65,0.08,1.11,12.36,0,-1.17,-0.94,-0.87,-3.72,-7.36,,,MAD,4,,
18,11/13/2021,Egg Fried Rice,13,Saturday,12.5,8.85,1.47,,,,5.33,6.17,7.21,5.42,8.85,0.12,8.85,8.96,-0.69,1.11,10.77,7.67,6.83,5.79,7.58,4.15,2.23,,,MAPE,0.53,,
19,11/15/2021,Egg Fried Rice,21,Monday,13.42,8.97,2.34,,,,8.33,6.33,8.58,9.33,8.97,0.12,8.97,8.09,-0.87,1.14,9.43,12.67,14.67,12.42,11.67,12.03,11.57,,Winter's model ,MSE,27.34,,
20,11/16/2021,Egg Fried Rice,19,Tuesday,13.5,9.1,2.09,,,,13,9,12.57,15.35,9.1,0.12,9.1,8.07,-0.02,1,7.18,6,10,6.43,3.65,9.9,11.82,,,MAD,4.19,,
21,11/17/2021,Egg Fried Rice,16,Wednesday,13.08,9.22,1.73,,,,17.67,11.5,11.26,17.23,9.22,0.12,9.22,8.8,0.73,0.95,7.63,-1.67,4.5,4.74,-1.23,6.78,8.37,,,MAPE,0.55,,
