period t,date,item,quantity,day,deseasonlised ,deseasonal,seasonal,seasonal index,,,Moving average( 3 days ),Moving average( 6 days ),weighted moving average,exponential smoothing,Holt's model( L ),Holt's model ( T ),Holt's model ( Ft ),Winter's model ( L ),Winter's model ( T ),Winter's model ( S ),Winter's model ( F ),moving average 3d error,moving average 6d error,weighted average error,exponential smoothing error,holt's model error,winter's model error,,,,,,
1,10/25/2021,Paneer Paratha,35,Monday,,16.19,2.16,1.21,15.29166817,0.901767622,,,,39.74,0.9,15.29,,0.9,15.29,1.21,,,,,-4.74,,,,,,,alpha for expontital smoothing,0.143636327
2,10/26/2021,Paneer Paratha,18,Tuesday,,17.1,1.05,1.05,,,,,,39.06,17.04,16.01,16.19,16.25,15.34,1.05,16.93,,,,-21.06,1.81,1.07,,,,,,
3,10/27/2021,Paneer Paratha,17,Wednesday,,18,0.94,0.67,,,,,,36.03,18.91,4.09,33.05,30.05,13.81,0.67,21.14,,,,-19.03,-16.05,-4.14,,,,,alpha for holt's,0.939609854
4,10/28/2021,Paneer Paratha,23,Thursday,25.75,18.9,1.22,1.11,,,23.33,,,33.3,19.15,0.85,23,35.1,5.04,1.11,48.7,-0.33,,,-10.3,0,-25.7,,Moving Average 3d,MSE,377.51,beta for holts,0.842354445
5,10/29/2021,Paneer Paratha,38,Friday,23.58,19.8,1.92,0.99,,,19.33,,,31.82,19.81,0.69,19.99,33.54,-1.56,0.99,39.91,18.67,,,6.18,18.01,-1.91,,,MAD,14.21,,
6,10/30/2021,Paneer Paratha,38,Saturday,23.92,20.7,1.84,1.07,,,26,,,32.71,20.69,0.85,20.51,27.83,-5.7,1.07,34.3,12,,,5.29,17.49,3.7,,,MAPE,0.63,,
7,11/1/2021,Paneer Paratha,6,Monday,24.08,21.6,0.28,,,,33,28.17,26.03,33.47,21.6,0.9,21.54,20.72,-7.11,1.21,26.82,-27,-22.17,-20.03,-27.47,-15.54,-20.82,,Moving Average 6d,MSE,299.21,alpha for winter's,0.326586613
8,11/2/2021,Paneer Paratha,21,Tuesday,23.08,22.51,0.93,,,,27.33,23.33,21,29.52,22.51,0.9,22.5,16.2,-4.52,1.05,14.23,-6.33,-2.33,0,-8.52,-1.5,6.77,,,MAD,12.91,beta for winter's,1
9,11/3/2021,Paneer Paratha,18,Wednesday,20.5,23.41,0.77,,,,21.67,23.83,26.66,28.3,23.41,0.9,23.41,19.29,3.08,0.67,7.82,-3.67,-5.83,-8.66,-10.3,-5.41,10.18,,,MAPE,0.54,gamma for holts,0
10,11/4/2021,Paneer Paratha,24,Thursday,21.33,24.31,0.99,,,,15,24,28.91,26.82,24.31,0.9,24.31,22.21,2.93,1.11,24.84,9,0,-4.91,-2.82,-0.31,-0.84,,Weighted average model,MSE,281.17,,
11,11/5/2021,Paneer Paratha,25,Friday,23.33,25.21,0.99,,,,21,24.17,25,26.41,25.21,0.9,25.21,25.21,3,0.99,25,4,0.83,0,-1.41,-0.21,0,,,MAD,12.65,w1,0.322188703
12,11/6/2021,Paneer Paratha,20,Saturday,23,26.11,0.77,,,,22.33,22,27.58,26.21,26.11,0.9,26.11,26.95,1.73,1.07,30.27,-2.33,-2,-7.58,-6.21,-6.11,-10.27,,,MAPE,0.46,w2,0.060126731
13,11/8/2021,Paneer Paratha,34,Monday,23,27.01,1.26,,,,23,19,12.92,25.32,27.01,0.9,27.01,26.59,-0.35,1.21,34.76,11,15,21.08,8.68,6.99,-0.76,,Exponential smoothing,MSE,308.72,w3,0.2529077
14,11/9/2021,Paneer Paratha,17,Tuesday,23.25,27.92,0.61,,,,26.33,23.67,22.1,26.57,27.92,0.9,27.92,26.39,-0.2,1.05,27.43,-9.33,-6.67,-5.1,-9.57,-10.92,-10.43,,,MAD,13.53,w4,0.041213585
15,11/10/2021,Paneer Paratha,18,Wednesday,24.25,28.82,0.62,,,,23.67,23,21.27,25.19,28.82,0.9,28.82,31.7,5.31,0.67,17.53,-5.67,-5,-3.27,-7.19,-10.82,0.47,,,MAPE,0.56,w5,0
16,11/11/2021,Paneer Paratha,24,Thursday,23.75,29.72,0.81,,,,23,23,23.2,24.16,29.72,0.9,29.72,33.66,1.96,1.11,41.08,1,1,0.8,-0.16,-5.72,-17.08,,Holt's model ,MSE,257.31,w6,0
17,11/12/2021,Paneer Paratha,28,Friday,24.25,30.62,0.91,,,,19.67,23,27.43,24.14,30.62,0.9,30.62,34.05,0.39,0.99,35.42,8.33,5,0.57,3.86,-2.62,-7.42,,,MAD,12.48,,
18,11/13/2021,Paneer Paratha,29,Saturday,27.83,31.52,0.92,,,,23.33,23.5,20,24.69,31.52,0.9,31.52,32.79,-1.26,1.07,36.94,5.67,5.5,9,4.31,-2.52,-7.94,,,MAPE,0.51,,
19,11/15/2021,Paneer Paratha,19,Monday,31.58,32.43,0.59,,,,27,25,25.9,25.31,32.43,0.9,32.43,29.97,-2.82,1.21,38.2,-8,-6,-6.9,-6.31,-13.43,-19.2,,Winter's model ,MSE,248.31,,
20,11/16/2021,Paneer Paratha,38,Tuesday,33.75,33.33,1.14,,,,25.33,22.5,20.38,24.4,33.33,0.9,33.33,28.69,-1.27,1.05,28.38,12.67,15.5,17.62,13.6,4.67,9.62,,,MAD,12.16,,
21,11/17/2021,Paneer Paratha,40,Wednesday,37,34.23,1.17,,,,28.67,26,22.94,26.36,34.23,0.9,34.23,35.17,6.47,0.67,18.35,11.33,14,17.06,13.64,5.77,21.65,,,MAPE,0.46,,
22,11/18/2021,Paneer Paratha,47,Thursday,42.83,35.13,1.34,,,,32.33,29.67,25.92,28.32,35.13,0.9,35.13,38.37,3.21,1.11,46.23,14.67,17.33,21.08,18.68,11.87,0.77,,,,,,
23,11/19/2021,Paneer Paratha,31,Friday,46.25,36.03,0.86,,,,41.67,33.5,25.33,31,36.03,0.9,36.03,39.84,1.46,0.99,41.34,-10.67,-2.5,5.67,0,-5.03,-10.34,,,,,,
