period t,date,item,quantity,day,deseasonlised ,deseasonal,seasonal,seasonal index,,,Moving average( 3 days ),Moving average( 6 days ),weighted moving average,exponential smoothing,Holt's model( L ),Holt's model ( T ),Holt's model ( Ft ),Winter's model ( L ),Winter's model ( T ),Winter's model ( S ),Winter's model ( F ),moving average 3d error,moving average 6d error,weighted average error,exponential smoothing error,holt's model error,winter's model error,,,,,,
1,10/25/2021,Paneer 65,6,Monday,,5.35,1.12,1.03,4.877822406,0.473571609,,,,17.8,0.47,4.88,,0.47,4.88,1.03,,,,,-11.8,,,,,,,alpha for expontital smoothing,0.702223925
2,10/26/2021,Paneer 65,4,Tuesday,,5.82,0.69,1.18,,,,,,9.51,5.82,5.35,5.35,5.25,4.78,1.18,6.34,,,,-5.51,-1.35,-2.34,,,,,,
3,10/27/2021,Paneer 65,2,Wednesday,,6.3,0.32,0.81,,,,,,5.64,6.3,0.47,11.18,9.51,4.26,0.81,8.09,,,,-3.64,-9.18,-6.09,,,,,alpha for holt's,1
4,10/28/2021,Paneer 65,1,Thursday,6.92,6.77,0.15,1,,,4,,,3.08,6.77,0.47,6.77,12.13,2.62,1,13.72,-3,,,-2.08,-5.77,-12.72,,Moving Average 3d,MSE,62.43,beta for holts,1
5,10/29/2021,Paneer 65,20,Friday,7.33,7.25,2.76,1.01,,,2.33,,,1.62,7.25,0.47,7.25,12.98,0.85,1.01,14.9,17.67,,,18.38,12.75,5.1,,,MAD,6.27,,
6,10/30/2021,Paneer 65,9,Saturday,8.17,7.72,1.17,0.86,,,7.67,,,14.53,7.72,0.47,7.72,12.7,-0.28,0.86,11.84,1.33,,,-5.53,1.28,-2.84,,,MAPE,0.49,,
7,11/1/2021,Paneer 65,5,Monday,8.58,8.19,0.61,,,,10,7,6.46,10.65,8.19,0.47,8.19,11.31,-1.39,1.07,13.24,-5,-2,-1.46,-5.65,-3.19,-8.24,,Moving Average 6d,MSE,59.69,alpha for winter's,0.234264411
8,11/2/2021,Paneer 65,10,Tuesday,7.42,8.67,1.15,,,,11.33,6.83,9.64,6.68,8.67,0.47,8.67,9.31,-2,1.18,11.74,-1.33,3.17,0.36,3.32,1.33,-1.74,,,MAD,5.9,beta for winter's,1
9,11/3/2021,Paneer 65,6,Wednesday,5.92,9.14,0.66,,,,8,7.83,6,9.01,9.14,0.47,9.14,8.26,-1.06,0.81,5.9,-2,-1.83,0,-3.01,-3.14,0.1,,,MAPE,0.41,gamma for holts,0.003785564
10,11/4/2021,Paneer 65,2,Thursday,6.17,9.61,0.21,,,,7,8.5,4.32,6.9,9.61,0.47,9.61,7.78,-0.48,1,7.17,-5,-6.5,-2.32,-4.9,-7.61,-5.17,,Weighted average model,MSE,61.35,,
11,11/5/2021,Paneer 65,5,Friday,6.17,10.09,0.5,,,,6,8.67,13.46,3.46,10.09,0.47,10.09,7.93,0.15,1.01,7.36,-1,-3.67,-8.46,1.54,-5.09,-2.36,,,MAD,5.55,w1,0.553358648
12,11/6/2021,Paneer 65,6,Saturday,5.92,10.56,0.57,,,,4.33,6.17,6.97,4.54,10.56,0.47,10.56,9.08,1.15,0.86,6.92,1.67,-0.17,-0.97,1.46,-4.56,-0.92,,,MAPE,0.35,w2,0
13,11/8/2021,Paneer 65,11,Monday,6.25,11.03,1,,,,4.33,5.67,4.13,5.57,11.03,0.47,11.03,10.27,1.18,1.06,10.9,6.67,5.33,6.87,5.43,-0.03,0.1,,Exponential smoothing,MSE,73.85,w3,0.089236359
14,11/9/2021,Paneer 65,4,Tuesday,6.83,11.51,0.35,,,,7.33,6.67,7.19,9.38,11.51,0.47,11.51,11.05,0.78,1.18,13.54,-3.33,-2.67,-3.19,-5.38,-7.51,-9.54,,,MAD,7.22,w4,0.38792553
15,11/10/2021,Paneer 65,9,Wednesday,7.58,11.98,0.75,,,,7,5.67,6.76,5.6,11.98,0.47,11.98,12.53,1.49,0.81,9.55,2,3.33,2.24,3.4,-2.98,-0.55,,,MAPE,0.61,w5,0.204379723
