period t,date,item,quantity,day,deseasonlised ,deseasonal,seasonal,seasonal index,,,Moving average( 3 days ),Moving average( 6 days ),weighted moving average,exponential smoothing,Holt's model( L ),Holt's model ( T ),Holt's model ( Ft ),Winter's model ( L ),Winter's model ( T ),Winter's model ( S ),Winter's model ( F ),moving average 3d error,moving average 6d error,weighted average error,exponential smoothing error,holt's model error,winter's model error,,,,,,
1,10/25/2021,Veg Fried Rice,11,Monday,,1.47,7.47,1.78,0.87,0.6,,,,17.67,0.6,0.87,,0.6,0.87,1.78,,,,,-6.67,,,,,,,alpha for expontital smoothing,0.348190647
2,10/26/2021,Veg Fried Rice,7,Tuesday,,2.08,3.37,1.37,,,,,,15.35,1.85,1.15,1.47,1.48,0.88,1.37,2.02,,,,-8.35,5.53,4.98,,,,,,
3,10/27/2021,Veg Fried Rice,3,Wednesday,,2.68,1.12,0.73,,,,,,12.44,2.8,1,3,2.58,1.1,0.73,1.72,,,,-9.44,0,1.28,,,,,alpha for holt's,0.629066238
4,10/28/2021,Veg Fried Rice,8,Thursday,6.83,3.28,2.44,1.25,,,7,,,9.15,3.47,0.76,3.8,3.5,0.92,1.25,4.62,1,,,-1.15,4.2,3.38,,Moving Average 3d,MSE,82.93,beta for holts,0.735882822
5,10/29/2021,Veg Fried Rice,3,Friday,6.33,3.89,0.77,0.73,,,6,,,8.75,4.02,0.6,4.24,4.57,1.07,0.73,3.24,-3,,,-5.75,-1.24,-0.24,,,MAD,7.12,,
6,10/30/2021,Veg Fried Rice,12,Saturday,6.42,4.49,2.67,1.25,,,4.67,,,6.75,4.54,0.54,4.62,5.28,0.71,1.25,7.06,7.33,,,5.25,7.38,4.94,,,MAPE,0.56,,
7,11/1/2021,Veg Fried Rice,5,Monday,6.42,5.09,0.98,,,,7.67,7.33,4.72,8.58,5.09,0.55,5.08,5.42,0.14,1.92,11.51,-2.67,-2.33,0.28,-3.58,-0.08,-6.51,,Moving Average 6d,MSE,81.45,alpha for winter's,0.172786424
8,11/2/2021,Veg Fried Rice,7,Tuesday,6.33,5.7,1.23,,,,6.67,6.33,9.31,7.33,5.68,0.58,5.64,5.31,-0.11,1.38,7.65,0.33,0.67,-2.31,-0.33,1.36,-0.65,,,MAD,6.94,beta for winter's,1
9,11/3/2021,Veg Fried Rice,4,Wednesday,5.75,6.3,0.63,,,,8,6.33,4,7.22,6.28,0.6,6.25,5.67,0.36,0.8,4.15,-4,-2.33,0,-3.22,-2.25,-0.15,,,MAPE,0.51,gamma for holts,0.213602042
10,11/4/2021,Veg Fried Rice,7,Thursday,5.42,6.91,1.01,,,,5.33,6.5,9.02,6.1,6.9,0.61,6.88,5.99,0.32,1.19,7.16,1.67,0.5,-2.02,0.9,0.12,-0.16,,Weighted average model,MSE,79.72,,
11,11/5/2021,Veg Fried Rice,3,Friday,5.58,7.51,0.4,,,,6,6.33,4.23,6.41,7.51,0.61,7.51,6.93,0.94,0.76,4.79,-3,-3.33,-1.23,-3.41,-4.51,-1.79,,,MAD,5.94,w1,0.072842098
12,11/6/2021,Veg Fried Rice,5,Saturday,5.5,8.11,0.62,,,,4.67,6.33,7.94,5.22,8.11,0.61,8.12,7.72,0.78,1.17,9.19,0.33,-1.33,-2.94,-0.22,-3.12,-4.19,,,MAPE,0.39,w2,0
13,11/8/2021,Veg Fried Rice,8,Monday,5.33,8.72,0.92,,,,5,5.17,3.86,5.15,8.72,0.6,8.72,7.91,0.19,1.71,14.53,3,2.83,4.14,2.85,-0.72,-6.53,,Exponential smoothing,MSE,82.59,w3,0.134556106
14,11/9/2021,Veg Fried Rice,6,Tuesday,5.67,9.32,0.64,,,,5.33,5.67,6.11,6.14,9.32,0.6,9.32,7.93,0.02,1.31,10.63,0.67,0.33,-0.11,-0.14,-3.32,-4.63,,,MAD,7.18,w4,0.007668225
15,11/10/2021,Veg Fried Rice,4,Wednesday,6,9.92,0.4,,,,6.33,5.5,5.27,6.09,9.92,0.6,9.92,8.56,0.63,0.86,6.87,-2.33,-1.5,-1.27,-2.09,-5.92,-2.87,,,MAPE,0.62,w5,0.146052997
16,11/11/2021,Veg Fried Rice,5,Thursday,6.83,10.53,0.47,,,,6,5.5,5.87,5.36,10.53,0.6,10.53,9.15,0.59,1.18,10.84,-1,-0.5,-0.87,-0.36,-5.53,-5.84,,Holt's model ,MSE,62.35,w6,0
17,11/12/2021,Veg Fried Rice,9,Friday,9,11.13,0.81,,,,5,5.17,5.33,5.24,11.13,0.6,11.13,10.37,1.23,0.83,8.06,4,3.83,3.67,3.76,-2.13,0.94,,,MAD,6.1,,
18,11/13/2021,Veg Fried Rice,3,Saturday,11.33,11.73,0.26,,,,6,6.17,5.35,6.55,11.73,0.6,11.73,11.37,1,1.14,13.25,-3,-3.17,-2.35,-3.55,-8.73,-10.25,,,MAPE,0.55,,
19,11/15/2021,Veg Fried Rice,20,Monday,13.25,12.34,1.62,,,,5.67,5.83,6.85,5.31,12.34,0.6,12.34,11.58,0.21,1.58,19.54,14.33,14.17,13.15,14.69,7.66,0.46,,Winter's model ,MSE,55.17,,
20,11/16/2021,Veg Fried Rice,20,Tuesday,15,12.94,1.55,,,,10.67,7.83,4.48,10.43,12.94,0.6,12.94,11.5,-0.08,1.28,15.12,9.33,12.17,15.52,9.57,7.06,4.88,,,MAD,5.49,,
21,11/17/2021,Veg Fried Rice,18,Wednesday,18.92,13.55,1.33,,,,14.33,10.17,12.31,13.76,13.55,0.6,13.55,11.96,0.47,0.93,10.58,3.67,7.83,5.69,4.24,4.45,7.42,,,MAPE,0.54,,
22,11/18/2021,Veg Fried Rice,14,Thursday,20.5,14.15,0.99,,,,19.33,12.5,10.64,15.24,14.15,0.6,14.15,12.37,0.4,1.17,14.59,-5.33,1.5,3.36,-1.24,-0.15,-0.59,,,,,,
23,11/19/2021,Veg Fried Rice,21,Friday,19.25,14.75,1.42,,,,17.33,14,16.97,14.81,14.75,0.6,14.75,13.46,1.09,0.88,11.24,3.67,7,4.03,6.19,6.25,9.76,,,,,,
24,11/20/2021,Veg Fried Rice,38,Saturday,18.42,15.36,2.47,,,,17.67,16,14.1,16.96,15.36,0.6,15.36,14.41,0.95,1.12,16.28,20.33,22,23.9,21.04,22.64,21.72,,,,,,
